open,close,high,low,volume,time,ret
177.83,182.01,182.88,177.71,104701220,2022-01-03,-0.012691610351079574
182.63,179.7,182.94,179.12,99310438,2022-01-04,-0.02659988870339458
179.61,174.92,180.17,174.64,94537602,2022-01-05,-0.01669334552938484
172.7,172.0,175.3,171.64,96903955,2022-01-06,0.000988372093023271
172.89,172.17,174.14,171.03,86709147,2022-01-07,0.00011616425625837756
169.08,172.19,172.5,168.17,106765552,2022-01-10,0.016783785353388758
172.32,175.08,175.18,170.82,76138312,2022-01-11,0.0025702535983549435
176.12,175.53,177.18,174.82,74805173,2022-01-12,-0.019028086367002817
175.78,172.19,176.62,171.79,84505760,2022-01-13,0.005110633602415815
171.34,173.07,173.78,171.09,80440780,2022-01-14,-0.01889408909689716
171.51,169.8,172.54,169.405,91168729,2022-01-18,-0.02102473498233226
170.0,166.23,171.08,165.94,94814990,2022-01-19,-0.01034710942669792
166.98,164.51,169.68,164.18,91420515,2022-01-20,-0.012765181447936258
164.415,162.41,166.33,162.3,122848858,2022-01-21,-0.004864232497998833
160.02,161.62,162.3,154.7,162706686,2022-01-24,-0.011384729612671673
158.98,159.78,162.76,157.02,115798367,2022-01-25,-0.0005632745024408692
163.5,159.69,164.3894,157.82,108275308,2022-01-26,-0.0029432024547560998
162.45,159.22,163.84,158.28,121954638,2022-01-27,0.0697776661223466
165.71,170.33,170.35,162.8,179935660,2022-01-28,0.026125755885633595
170.16,174.78,175.0,169.51,115541590,2022-01-31,-0.000972651333104424
174.01,174.61,174.84,172.31,86213911,2022-02-01,0.007044270087623872
174.745,175.84,175.88,173.33,84914256,2022-02-02,-0.01671974522292996
174.48,172.9,176.2399,172.12,89418074,2022-02-03,-0.0029496818970504712
171.68,172.39,174.1,170.68,82465400,2022-02-04,-0.004234584372643346
172.86,171.66,173.9458,170.95,77251204,2022-02-07,0.01846673657229414
171.73,174.83,175.35,171.43,74829217,2022-02-08,0.008293771091917757
176.05,176.28,176.65,174.9,71285038,2022-02-09,-0.02359882005899705
174.14,172.12,175.48,171.55,90865899,2022-02-10,-0.020218452242621532
172.33,168.64,173.08,168.04,98670687,2022-02-11,0.0014231499051233776
167.37,168.88,169.58,166.56,86185530,2022-02-14,0.023152534343912734
170.97,172.79,172.95,170.25,64286320,2022-02-15,-0.0013889692690548516
171.85,172.55,173.34,170.05,61177398,2022-02-16,-0.02126919733410615
171.03,168.88,171.91,168.47,69589344,2022-02-17,-0.009355755566082369
169.82,167.3,170.5413,166.19,82772674,2022-02-18,-0.01781231320980281
164.98,164.32,166.69,162.15,91162758,2022-02-22,-0.025864167478091504
165.54,160.07,166.15,159.75,90009247,2022-02-23,0.01668020241144519
152.58,162.74,162.85,152.0,141147540,2022-02-24,0.012965466388103586
163.84,164.85,165.12,160.8738,91974222,2022-02-25,0.0016378525932667642
163.06,165.12,165.42,162.43,95056629,2022-02-28,-0.011627906976744318
164.695,163.2,166.6,161.97,83474425,2022-03-01,0.020588235294117796
164.39,166.56,167.36,162.95,79724750,2022-03-02,-0.001981268011527426
168.47,166.23,168.91,165.55,76678441,2022-03-03,-0.01840822956145105
164.49,163.17,165.55,162.1,83819592,2022-03-04,-0.023717595146166448
163.36,159.3,165.02,159.04,96418845,2022-03-07,-0.01167608286252364
158.82,157.44,162.88,155.8,131148280,2022-03-08,0.03499745934959342
161.475,162.95,163.41,159.41,91454905,2022-03-09,-0.027186253451979003
160.2,158.52,160.39,155.98,105342033,2022-03-10,-0.023908655059298622
158.93,154.73,159.28,154.5,96970102,2022-03-11,-0.026562399017643568
151.45,150.62,154.12,150.1,108732111,2022-03-14,0.0296773336874252
150.9,155.09,155.57,150.38,92964302,2022-03-15,0.02901541040686051
157.05,159.59,160.0,154.46,102300157,2022-03-16,0.006454038473588497
158.61,160.62,161.0,157.63,75615376,2022-03-17,0.020918939110945
160.51,163.98,164.48,159.76,123511692,2022-03-18,0.00853762653982204
163.51,165.38,166.35,163.015,95811352,2022-03-21,0.020800580481315833
165.51,168.82,169.42,164.91,81532007,2022-03-22,0.008233621608814135
167.99,170.21,172.64,167.65,98062674,2022-03-23,0.022677868515363242
171.06,174.07,174.14,170.21,90131418,2022-03-24,0.0037341299477222645
173.88,174.72,175.28,172.75,80546156,2022-03-25,0.005036630036630019
172.17,175.6,175.73,172.0,90371916,2022-03-28,0.01913439635535319
176.69,178.96,179.01,176.34,100589440,2022-03-29,-0.006649530621367861
178.55,177.77,179.61,176.7,92633154,2022-03-30,-0.01777577769027394
177.84,174.61,178.03,174.4,103049285,2022-03-31,-0.001718114655518077
174.03,174.31,174.88,171.94,78751328,2022-04-01,0.023693419769376334
174.57,178.44,178.49,174.44,76545983,2022-04-04,-0.0189419412687738
177.5,175.06,178.3,174.415,73401786,2022-04-05,-0.01845081686278982
172.36,171.83,173.63,170.13,89058782,2022-04-06,0.0018041087120990174
171.16,172.14,173.36,169.85,77594650,2022-04-07,-0.011908911351225626
171.78,170.09,171.78,169.2,76575508,2022-04-08,-0.02551590334528786
168.71,165.75,169.03,165.5,72246706,2022-04-11,0.011523378582201982
168.02,167.66,169.87,166.64,79265181,2022-04-12,0.016342598115233198
167.39,170.4,171.04,166.77,70618925,2022-04-13,-0.029988262910798147
170.62,165.29,171.27,165.04,75329376,2022-04-14,-0.0013309940105269424
163.92,165.07,166.5984,163.57,69023941,2022-04-18,0.014115223844429758
165.02,167.4,167.82,163.91,67723833,2022-04-19,-0.0010155316606930143
168.76,167.23,168.88,166.1,67929814,2022-04-20,-0.004843628535549871
168.91,166.42,171.53,165.91,87227768,2022-04-21,-0.027821175339502457
166.46,161.79,167.8699,161.5,84882424,2022-04-22,0.006737128376290258
161.12,162.88,163.17,158.46,96046376,2022-04-25,-0.037328094302553905
162.25,156.8,162.34,156.72,95623240,2022-04-26,-0.0014668367346939437
155.91,156.57,159.79,155.38,88063191,2022-04-27,0.04515552149198432
159.25,163.64,164.515,158.93,130216792,2022-04-28,-0.036604742116841726
161.84,157.65,166.2,157.25,131747571,2022-04-29,0.001966381224230984
156.71,157.96,158.23,153.27,123055265,2022-05-02,0.009622689288427244
158.15,159.48,160.71,156.32,88966526,2022-05-03,0.04100827689992492
159.67,166.02,166.48,159.26,108256503,2022-05-04,-0.05571617877364177
163.85,156.77,164.08,154.95,130525275,2022-05-05,0.00325317343879572
156.01,157.28,159.44,154.18,116124647,2022-05-06,-0.033189216683621514
154.925,152.06,155.83,151.49,131577921,2022-05-09,0.016112061028541236
155.52,154.51,156.74,152.93,115366736,2022-05-10,-0.05184130476991777
153.5,146.5,155.45,145.81,142689825,2022-05-11,-0.02689419795221837
142.77,142.56,146.2,138.8,182602041,2022-05-12,0.03191638608305292
144.59,147.11,148.105,143.11,113990852,2022-05-13,-0.010672286044456691
145.55,145.54,147.5199,144.18,86643781,2022-05-16,0.025422564243507084
148.86,149.24,149.77,146.68,78336254,2022-05-17,-0.05641919056553213
146.85,140.82,147.3601,139.9,109742890,2022-05-18,-0.024641386166737722
139.88,137.35,141.66,136.6,136095640,2022-05-19,0.00174736075718962
139.09,137.59,140.7,132.61,137426125,2022-05-20,0.040119194708917894
137.79,143.11,143.26,137.65,117726265,2022-05-23,-0.01921598770176791
140.805,140.36,141.97,137.33,104132746,2022-05-24,0.0011399259048161525
138.43,140.52,141.785,138.34,92482696,2022-05-25,0.023199544548818674
137.39,143.78,144.34,137.14,90601548,2022-05-26,0.04075671164278738
145.39,149.64,149.68,145.26,90978503,2022-05-27,-0.00534616412723854
149.07,148.84,150.66,146.84,103718416,2022-05-31,-0.000873421123353868
149.9,148.71,151.74,147.68,74286635,2022-06-01,0.01681124335955886
147.83,151.21,151.27,146.86,72348055,2022-06-02,-0.038555651081277786
146.9,145.38,147.97,144.46,88570289,2022-06-03,0.005227679185582534
147.03,146.14,148.5689,144.9,71598380,2022-06-06,0.0175858765567265
144.345,148.71,149.0,144.1,67808150,2022-06-07,-0.005043373007867613
148.58,147.96,149.8697,147.46,53950201,2022-06-08,-0.03595566369289016
147.08,142.64,147.95,142.53,69472976,2022-06-09,-0.038628715647784584
140.28,137.13,140.76,137.06,91566637,2022-06-10,-0.038284839203675314
132.87,131.88,135.2,131.44,122207099,2022-06-13,0.0066727327873823405
133.13,132.76,133.89,131.48,84784326,2022-06-14,0.02011147936125357
134.29,135.43,137.34,132.16,91532972,2022-06-15,-0.03965148046961531
132.08,130.06,132.39,129.04,107961508,2022-06-16,0.011533138551437894
130.065,131.56,133.079,129.81,134520290,2022-06-17,0.03276071754332621
133.42,135.87,137.06,133.32,81000488,2022-06-21,-0.0038271877529992837
134.79,135.35,137.76,133.91,73409234,2022-06-22,0.021573697820465476
136.82,138.27,138.59,135.63,72433768,2022-06-23,0.024517248860924212
139.9,141.66,141.91,139.77,89116837,2022-06-24,0.0
142.695,141.66,143.49,140.965,70207908,2022-06-27,-0.029789637159395754
142.13,137.44,143.422,137.325,67315328,2022-06-28,0.013023864959254894
137.46,139.23,140.67,136.67,66242411,2022-06-29,-0.018027723910076787
137.25,136.72,138.37,133.7737,98964467,2022-06-30,0.01616442363955528
136.04,138.93,139.04,135.66,71051552,2022-07-01,0.018930396602605537
137.77,141.56,141.61,136.93,73429641,2022-07-05,0.009607233681830918
141.355,142.92,144.12,141.08,74064254,2022-07-06,0.023999440246291748
143.29,146.35,146.55,143.28,66253709,2022-07-07,0.004714724974376416
145.265,147.04,147.55,145.0,64547798,2022-07-08,-0.014757889009793135
145.67,144.87,146.64,143.78,63305113,2022-07-11,0.006833712984054774
145.76,145.86,148.45,145.05,77588759,2022-07-12,-0.002536679007267284
142.99,145.49,146.45,142.1201,71185560,2022-07-13,0.020482507388823956
144.08,148.47,148.95,143.25,78140744,2022-07-14,0.011450124604297063
149.78,150.17,150.86,148.2,76259931,2022-07-15,-0.020643270959579074
150.74,147.07,151.57,146.7,81420868,2022-07-18,0.02672196913034619
147.92,151.0,151.23,146.91,82982367,2022-07-19,0.013509933774834337
151.12,153.04,153.72,150.37,64823413,2022-07-20,0.015094093047569368
154.5,155.35,155.57,151.94,65086636,2022-07-21,-0.00811071773414862
155.39,154.09,156.28,153.41,66675408,2022-07-22,-0.007398273736128336
154.01,152.95,155.04,152.28,53623945,2022-07-25,-0.008826413860738791
152.265,151.6,153.085,150.8,55138691,2022-07-26,0.03423482849604231
152.58,156.79,157.33,152.16,78620688,2022-07-27,0.0035716563556349445
156.98,157.35,157.64,154.41,81378731,2022-07-28,0.032793136320305116
161.24,162.51,163.63,159.5,101786860,2022-07-29,-0.006153467478924424
161.01,161.51,163.59,160.89,67829379,2022-08-01,-0.009287350628444102
