open,close,high,low,volume,time,ret
338.295,338.54,341.0816,337.19,14562849,2022-01-03,-0.005937259998818556
339.95,336.53,343.0854,331.8711,15997974,2022-01-04,-0.036727780584197456
333.02,324.17,335.76,323.84,20564521,2022-01-05,0.025573001820032637
322.82,332.46,339.165,322.72,27962809,2022-01-06,-0.002015280033688116
332.74,331.79,337.0,328.8801,14722020,2022-01-07,-0.011211911148618192
325.31,328.07,328.34,315.43,24942383,2022-01-10,0.019203218825250667
326.78,334.37,334.63,325.28,16226847,2022-01-11,-0.003319675808236444
335.18,333.26,336.365,330.03,14104858,2022-01-12,-0.020344475784672578
334.98,326.48,335.63,325.76,14797109,2022-01-13,0.016601323205096774
321.79,331.9,332.73,321.21,16868497,2022-01-14,-0.04142814100632719
323.29,318.15,324.21,317.64,22677332,2022-01-18,0.004526166902404594
319.5822,319.59,327.1,319.33,20814740,2022-01-19,-0.009480897399793409
323.9,316.56,327.82,315.98,16925030,2022-01-20,-0.04229845842810209
314.81,303.17,318.31,303.04,28710717,2022-01-21,0.018273575881518456
297.84,308.71,309.53,289.01,38936901,2022-01-24,-0.027728288685173852
299.95,300.15,306.23,297.58,25108454,2022-01-25,-0.018390804597701038
307.01,294.63,307.51,290.85,28348801,2022-01-26,3.394087499564158e-05
297.752,294.64,301.709,294.26,21629922,2022-01-27,0.023995384197665004
295.6204,301.71,301.9,293.0333,21871620,2022-01-28,0.0382817937754798
300.68,313.26,313.79,299.32,21579474,2022-01-31,0.01832343740024256
314.555,319.0,319.6598,312.12,18023796,2022-02-01,0.012539184952978122
327.82,323.0,328.0,316.8747,58458280,2022-02-02,-0.26390092879256966
244.645,237.76,248.0,235.745,188119925,2022-02-03,-0.002817967698519497
234.97,237.09,242.6099,230.11,89342247,2022-02-04,-0.051372896368467647
237.7,224.91,238.3,224.01,88613826,2022-02-07,-0.02103063447601261
220.85,220.18,225.77,216.15,94729672,2022-02-08,0.053683349986374695
224.2,232.0,233.37,222.21,86563275,2022-02-09,-0.016939655172413803
228.27,228.07,235.0,226.7,49310356,2022-02-10,-0.037356951813039774
228.46,219.55,230.42,218.7701,46156943,2022-02-11,-0.008426326577089638
219.31,217.7,221.0,214.78,38184035,2022-02-14,0.015158474965548896
220.47,221.0,221.15,215.06,42685473,2022-02-15,-0.020180995475113206
212.41,216.54,217.46,212.36,45817457,2022-02-16,-0.04077768541608928
214.02,207.71,217.5,207.1601,38747533,2022-02-17,-0.007462327283231485
209.39,206.16,210.75,205.18,37128438,2022-02-18,-0.019790454016297976
202.34,202.08,207.48,200.06,39852391,2022-02-22,-0.017963182897862362
204.16,198.45,206.94,198.05,44481359,2022-02-23,0.046107331821617636
